question_id,question_text
after_hours,How often do you check work messages outside hours?
awareness,How aware are you of why you reach for your phone?
habit_vs_emotion,Is your phone use more habit or emotional response?
openness,How motivated are you to change your digital habits?
privacy,What data would you be comfortable sharing for personalized insights?
seeking,What are you usually looking for when you scroll?
slip_window,When do you most often find yourself in unplanned scrolling?
tool_trust,How useful do you find current screen-time tools?
trigger,What usually happens right before you pick up your phone?
why_insights,Would evidence-based insights into your emotional triggers be valuable?
work_style,How would you describe your work style?