id,anonymous_id,persona,completed_at,created_at
078e2b9a-77cb-4365-9039-69af441a7f9f,24ff06ed-bb3a-46f5-a48c-01a023e84038,The Comfort Seeker,2026-03-03 07:46:10.509183+00,2026-03-03 07:46:10.509183+00
15d816a5-9ff7-484f-8470-22c586174941,35d1d187-b75b-45f6-b769-c07477b59197,The Curious Observer,2026-02-22 08:49:08.763114+00,2026-02-22 08:49:08.763114+00
172e1621-50ea-49d5-895c-95c5bddf06f5,8fa7b8f9-b8ae-4996-812a-7ef15273bae0,The Autopilot,2026-03-03 11:49:18.18092+00,2026-03-03 11:49:18.18092+00
1f1f1222-0c37-42e4-b899-eb3b5cc758d0,7ad211b5-3f42-4764-a380-05282e280f96,The Autopilot,2026-02-23 08:39:45.304975+00,2026-02-23 08:39:45.304975+00
3cbcbf96-a5d5-474d-995c-bb730b36164f,51e4954a-0ddb-43b6-b122-ace148d31a98,The Ready Transformer,2026-02-26 19:20:21.3307+00,2026-02-26 19:20:21.3307+00
441628a5-bf9a-4d8b-a907-3557c1e8740c,ba1d8ef4-36a9-4379-b5d4-8ce9f2bf54ff,The Aware Escapist,2026-02-22 09:06:48.953228+00,2026-02-22 09:06:48.953228+00
51474169-46de-464f-bd73-f731249571c2,5b682b21-7419-4fdc-82e9-46c8b0f7132a,The Ready Transformer,2026-02-22 08:15:30.190748+00,2026-02-22 08:15:30.190748+00
54d0886c-1485-4c0e-a813-2cf275d15940,db81cd9b-a8ea-4b9a-9c0f-8bc17e10e0fd,The Ready Transformer,2026-02-23 13:11:01.146023+00,2026-02-23 13:11:01.146023+00
616e2ca5-2e1d-420e-94e0-09344c8d4bcb,4606f93f-2d53-4d89-bc54-9768613f6efa,The Aware Escapist,2026-02-22 08:43:30.935939+00,2026-02-22 08:43:30.935939+00
644fde69-6e11-4ac9-bbb6-507f4eedf0f2,569f5c26-ef13-47b1-a413-8a37ecdbbbe8,The Aware Escapist,2026-02-26 12:55:12.535716+00,2026-02-26 12:55:12.535716+00
7b06ed25-38c8-4deb-8a05-d447e689758a,7cd51643-dbd6-461d-ad15-7dd72b498fae,The Aware Escapist,2026-02-26 12:59:24.572247+00,2026-02-26 12:59:24.572247+00
838ce1a2-5b99-4c79-896b-85a5093f802c,195a3d7a-6a8e-429d-8e29-5c55db581834,The Ready Transformer,2026-02-23 13:52:23.859888+00,2026-02-23 13:52:23.859888+00
850aa4fc-3794-4983-9398-f871f02fd3eb,ad50bea2-c2f9-492d-afa1-270438173fe1,The Comfort Seeker,2026-02-23 17:23:48.625966+00,2026-02-23 17:23:48.625966+00
8c6a9c39-5d8c-4fe0-96ed-a070458a66d6,092c300b-2680-4631-990c-8833369501ae,The Aware Escapist,2026-02-22 07:40:43.644535+00,2026-02-22 07:40:43.644535+00
8fbcff31-49f7-4c32-a40d-01258c5d8442,5e8882f4-7c2a-4d27-81d2-37fd17b245e0,The Comfort Seeker,2026-02-23 14:07:07.472727+00,2026-02-23 14:07:07.472727+00
96eba9db-6cf0-417f-9ef2-74f508a7d8bc,a3373f30-b506-44db-823e-35fc6e4318f2,The Comfort Seeker,2026-02-23 10:38:00.596025+00,2026-02-23 10:38:00.596025+00
99406fa5-3a76-4bc8-9160-3b3f8ae0111b,89b5e400-cb83-4c4b-b2bf-86a390e0a35c,The Curious Observer,2026-02-23 13:17:39.166406+00,2026-02-23 13:17:39.166406+00
a65ffae3-638d-48e1-868c-8a140c52706c,7f34d94b-e703-43c5-8602-9b7f94824d87,The Ready Transformer,2026-02-23 16:56:39.049036+00,2026-02-23 16:56:39.049036+00
a74bae90-97fd-4a88-8ac0-a9a1411d199c,50811f90-4831-400c-af37-f55630866716,The Comfort Seeker,2026-02-23 13:12:27.551161+00,2026-02-23 13:12:27.551161+00
afaae2c7-c6a2-4da6-9c02-356dce827f96,d1c7ea7c-d286-4e64-92ae-8d9857a59e3f,The Ready Transformer,2026-02-23 14:03:37.409996+00,2026-02-23 14:03:37.409996+00
c15fdcba-681c-499b-8502-48415ff9429a,36365254-75f7-4217-8b12-f42206a64035,The Autopilot,2026-02-27 09:13:15.780747+00,2026-02-27 09:13:15.780747+00
d480f412-f305-475a-9736-9722880d5a35,11165a7e-4af0-42db-9daa-640e15ff8bcd,The Ready Transformer,2026-03-03 20:43:42.673162+00,2026-03-03 20:43:42.673162+00
dd32b023-36fc-43e3-ad34-d9d54701d357,f3256b1b-52ed-4884-b5eb-470f3d66d750,The Ready Transformer,2026-03-03 20:47:08.394492+00,2026-03-03 20:47:08.394492+00